Start Time		2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
DE PV Total		39332	39332	39332	39332	39332	39332	40679	42339	45181	49016	63721	65824	67996	70240	72558	74952	77425	79980	82620	85346	88163	91072	94077	97182	100389	103702	107124	110659	114311	118083	121980	126005	130163	134459	138896	143479	148214	153105	158158	163377	168768	174338	180091	186034	192173	198515	205066	211833	218823	226044	233504	241209	249169	257392	265886	274660	283724	293087	302759	312750	323070	333732	344745	356122	367874	380013	392554	405508	418890	432713	446993	461744	476981	492721	508981	525778	543128	561052	579566	598692	618449	638858	659940	681718	704215	727454	751460	776258	801874	828336	855671
DE PV North		9956	9956	9956	9956	9956	9956	10297	10717	11437	12407	17493	18414	19403	20078	20514	20953	21389	21827	22263	22701	23138	23576	24013	24450	24887	25325	25762	26200	26636	27074	27511	27896	28287	28683	29084	29491	29904	30323	30748	31178	31614	32057	32506	32961	33422	33890	34365	34846	35334	35828	36330	36839	37354	37877	38408	38945	39491	40043	40604	41172	41749	42333	42926	43527	44136	44754	45381	46016	46660	47314	47976	48648	49329	50019	50720	51430	52150	52880	53620	54371	55132	55904	56687	57480	58285	59101	59928	60767	61618	62481	63355
DE PVSAT BB 3062 53.0 11.875 Generator		2981	2981	2981	2981	2981	2981	3083	3209	3424	3715	8078	9047	9759	10337	10706	11087	11476	11867	12258	12645	13028	13406	13655	13904	14153	14401	14650	14899	15147	15396	15644	15881	16105	16316	16514	16697	16865	17018	17155	17275	17380	17467	17537	17590	17626	17644	17644	17626	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592	17592
DE PVSAT BW 2257 48.5 9.375 Generator		8362	8362	8362	8362	8362	8362	8362	8362	8362	8362	8362	8556	8882	9042	9160	9270	9370	9460	9548	9630	9708	9782	9964	10144	10326	10508	10688	10870	11052	11234	11414	11584	11756	11928	12102	12278	12456	12632	12812	12992	13174	13358	13542	13726	13914	14100	14290	14478	14670	14862	15054	15248	15442	15638	15834	16032	16230	16430	16630	16830	17032	17234	17436	17640	17842	18048	18252	18458	18664	18870	19076	19282	19490	19698	19906	20114	20322	20530	20738	20946	21154	21362	21570	21778	21986	22192	22400	22606	22812	23018	23224
DE PVSAT BY 2171 48.0 11.25 Generator		6931	6931	6931	6931	6931	6931	6931	6931	6931	6931	6931	7341.5	7656	7825	7915.5	7992.5	8056.5	8110	8156.5	8196.5	8230.5	8258	8411.5	8564.5	8718	8871	9024	9177.5	9330.5	9483.5	9636.5	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637
DE PVSAT BY 2527 50.0 11.25 Generator		6931	6931	6931	6931	6931	6931	6931	6931	6931	6931	6931	7341.5	7656	7825	7915.5	7992.5	8056.5	8110	8156.5	8196.5	8230.5	8258	8411.5	8564.5	8718	8871	9024	9177.5	9330.5	9483.5	9636.5	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637	9637
DE PVSAT HE 2791 51.5 9.375 Generator		1272	1272	1272	1272	1272	1272	1272	1272	1272	1272	1272	1336	1413	1465	1488	1510	1529	1547	1564	1580	1596	1610	1640	1670	1700	1730	1760	1790	1819	1849	1879	1907	1935	1964	1993	2021	2050	2080	2109	2139	2169	2199	2229	2260	2291	2321	2352	2384	2415	2447	2478	2510	2542	2575	2607	2639	2672	2705	2738	2771	2804	2837	2870	2904	2937	2971	3005	3039	3073	3106	3140	3175	3209	3243	3277	3311	3345	3380	3414	3448	3483	3517	3551	3585	3619	3654	3688	3722	3756	3790	3823
DE PVSAT MV 3241 54.0 12.5 Generator		1415	1415	1415	1415	1415	1415	1463	1523	1625	1763	2311	2709	2957	3184	3377	3588	3818	4061	4311	4566	4828	5093	5188	5282	5377	5471	5566	5660	5755	5849	5944	6034	6119	6199	6274	6343	6407	6465	6517	6563	6603	6636	6663	6683	6696	6703	6703	6697	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683	6683
DE PVSAT NS 3057 53.0 8.75 Generator		3600	3600	3600	3600	3600	3600	3723	3875	4135	4486	5851	5904	6246	6510	6687	6877	7083	7302	7533	7776	8033	8302	8456	8610	8764	8918	9072	9226	9380	9534	9688	9835	9974	10104	10226	10340	10444	10539	10623	10698	10763	10817	10860	10893	10915	10926	10926	10916	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894	10894
DE PVSAT NW 2788 51.5 7.5 Generator		7132	7132	7132	7132	7132	7132	7132	7132	7132	7132	7132	7198	7478	7637	7742	7844	7943	8041	8140	8240	8342	8447	8603	8760	8917	9073	9230	9387	9543	9700	9857	10003	10151	10301	10451	10602	10755	10909	11063	11219	11376	11534	11693	11853	12014	12176	12339	12503	12667	12833	12999	13167	13335	13504	13674	13844	14015	14187	14360	14533	14707	14881	15056	15231	15407	15584	15761	15938	16116	16294	16472	16651	16830	17009	17188	17368	17547	17727	17907	18087	18266	18446	18626	18805	18984	19163	19342	19521	19699	19877	20054
DE PVSAT RF 2610 50.5 7.5 Generator		2544	2544	2544	2544	2544	2544	2544	2544	2544	2544	2544	2672	2826	2930	2976	3020	3058	3094	3128	3160	3192	3220	3280	3340	3400	3460	3520	3580	3638	3698	3758	3814	3870	3928	3986	4042	4100	4160	4218	4278	4338	4398	4458	4520	4582	4642	4704	4768	4830	4894	4956	5020	5084	5150	5214	5278	5344	5410	5476	5542	5608	5674	5740	5808	5874	5942	6010	6078	6146	6212	6280	6350	6418	6486	6554	6622	6690	6760	6828	6896	6966	7034	7102	7170	7238	7308	7376	7444	7512	7580	7646
DE PVSAT SA 2884 52.0 11.875 Generator		0	0	0	0	0	0	0	0	0	709	2835	3483	3648	3738	3804	3867	3922	3975	4021	4066	4104	4138	4215	4292	4367	4446	4522	4598	4675	4753	4828	4877	4926	4979	5034	5093	5154	5219	5289	5360	5435	5514	5598	5684	5775	5871	5970	6075	6184	6297	6416	6539	6667	6801	6941	7086	7239	7395	7559	7728	7906	8089	8279	8476	8680	8892	9111	9339	9574	9818	10070	10330	10599	10877	11166	11463	11770	12086	12412	12749	13097	13456	13825	14205	14598	15002	15417	15845	16286	16740	17205
DE PVSAT SH 3325 54.5 9.375 Generator		1960	1960	1960	1960	1960	1960	2027	2110	2251	2443	3704	3767	3830	3893	3956	3956	3956	3956	3956	3956	3956	3956	3956	3956	3956	3956	3956	3956	3956	3956	3956	4016	4073	4126	4176	4222	4265	4303	4338	4368	4395	4417	4435	4448	4457	4462	4462	4457	4448	4435	8793	8916	9041	9168	9296	9425	9557	9692	9827	9965	10104	10245	10389	10535	10683	10832	10984	11137	11293	11451	11612	11775	11939	12107	12276	12448	12621	12799	12977	13159	13344	13531	13720	13912	14107	14304	14504	14708	14913	15123	15333
DE PVSAT SX 2709 51.0 13.75 Generator		2626	2626	2626	2626	2626	2626	2626	2626	2626	2626	2626	2689	2932	3136	3245	3357	3472	3588	3706	3824	3943	4063	4138	4213	4289	4364	4439	4515	4590	4665	4741	4811	4883	4954	5027	5099	5173	5247	5321	5396	5472	5548	5624	5701	5778	5856	5935	6013	6093	6172	6252	6333	6414	6495	6577	6659	6741	6824	6907	6990	7073	7157	7241	7326	7411	7495	7581	7666	7751	7837	7923	8009	8095	8181	8267	8353	8440	8526	8613	8699	8786	8872	8958	9045	9131	9217	9303	9389	9475	9560	9646
DE PVSAT TH 2705 51.0 11.25 Generator		1940	1940	1940	1940	1940	1940	1940	1940	1940	1940	4900	5044	5345	5567	5723	5885	6052	6223	6396	6571	6749	6928	7057	7185	7314	7442	7571	7700	7828	7956	8085	8205	8327	8449	8572	8697	8822	8948	9075	9203	9331	9461	9591	9723	9855	9987	10121	10255	10390	10526	10663	10800	10938	11077	11216	11356	11496	11637	11778	11921	12063	12206	12350	12494	12638	12783	12928	13073	13219	13365	13511	13658	13805	13952	14099	14246	14393	14541	14688	14836	14983	15130	15278	15425	15572	15719	15866	16012	16158	16304	16450
DE Batteries 2020		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2021		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2022		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2023		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2024		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2025		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2026		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2027		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2028		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2029		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2030		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2031		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2032		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2033		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2034		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2035		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2036		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2037		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2038		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2039		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2040		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Pumped Storage		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Batteries 2h 2020		0	0	0	0	0	0	0	0	0	0	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600
DE Batteries 2h 2021		0	0	0	0	0	0	0	0	0	0	0	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600
DE Batteries 2h 2022		0	0	0	0	0	0	0	0	0	0	0	0	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600
